# Logfile created on 2025-12-26 19:34:57 +0530 by logger.rb/v1.4.3
2025-12-26 19:34:57 +0530: Memory Usage (441284K) : antmetal2_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (441284K) : graphcont_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (441412K) : siwg_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (441412K) : siwg_filler has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (441412K) : siwg_nofill has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (441412K) : sigrating_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (441540K) : singrating_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (441540K) : graphpas_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (441668K) : emwind3_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (441668K) : emwihv3_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (441796K) : redbulay_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (441796K) : smos_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (441924K) : graphpad_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (441924K) : polimide_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (442052K) : polimide_pin has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (442052K) : recog_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (442180K) : recog_pin has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (442308K) : recog_esd has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (442308K) : recog_diode has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (442436K) : recog_tsv has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (442436K) : recog_iprobe has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (442564K) : recog_diffprb has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (442564K) : recog_pillar has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (442692K) : recog_sbump has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (442692K) : recog_otp has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (442820K) : recog_pdiode has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (442820K) : recog_mom has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (442948K) : recog_pcm has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (442948K) : colopen_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (443076K) : graphmetal1_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (443076K) : graphmetal1_filler has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (443204K) : graphmetal1_nofill has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (443204K) : graphmetal1_slit has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (443332K) : graphmetal1_opc has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (443332K) : graphmet1l_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (443460K) : graphmet1l_filler has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (443460K) : graphmet1l_nofill has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (443588K) : graphmet1l_slit has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (443588K) : graphmet1l_opc has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (443716K) : extblock_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (443716K) : nldd_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (443844K) : pldd_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (443844K) : next_drw has 0 polygons
